block_address_expanded,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
4900 TARRANT PK,,,,,,,,,,,,1,1
4900 TERRACE TR,,1,,,,,,,,,,,1
4900 TRUELAND DR,,,,,,1,,,,,,,1
4900 URBANVIEW ST,,,,,1,,,,,,,,1
4900 WEST LOOP INTERSTATE 820 820 SOUTH,,,,1,,,,,,,,,1
4900 WESTBRIAR DR,,,,,1,,,,,,,,1
4900 WESTERN CENTER BL,1,,,,,,,,,,,,1
4900 WHISTLER DR,,,,,,1,,,,,,,1
500 7 RD,,,,,,,,1,,,,,1
500 BRYAN AVE,,,,,1,,,,,,,,1
500 BURNETT ST,,1,,,,,,,,,,,1
500 CABRAL CIR,,,,,,,1,,,,,,1
500 CANYON CREEK TRL,,,,1,,,,,,,,,1
500 CARAVAN DR,,,,,,1,,,,,,,1
500 CHAPEL CREEK BL,,,,1,,,,,,,,,1
500 CHICAGO AVE,,,,,,1,,,,,,,1
500 CRESCENT CREEK LN,,,,,1,,,,,,,,1
500 EAST FW,,1,,,,,,,,,,,1
500 EAST LOOP INTERSTATE 820 820,,,,1,,,,,,,,,1
500 EAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,,1,,,,,1
500 ERNEST ST,,,1,,,,,,,,,,1
500 FLOWERING PLUM LN,,,,1,,,,,,,,,1
500 FORBY AVE,,,,,,1,,,,,,,1
500 GRANT AV,1,,,,,,,,,,,,1
500 GRANT AVE,,,,1,,,,,,,,,1
500 GREENLEAF ST,,1,,,,,,,,,,,1
500 GREENWAY PARK DR,,,,,,1,,,,,,,1
500 GROVE ST,,,,,1,,,,,,,,1
500 HALTOM RD,,,,,1,,,,,,,,1
500 HIGH WOODS TR,1,,,,,,,,,,,,1
500 IH30 EXIT HENDERS,,,,,,1,,,,,,,1
500 JIM WRIGHT FREEWAY NW,,,,1,,,,,,,,,1
500 LEAD CREEK DR,,1,,,,,,,,,,,1
500 MAGDALEN AVE,,,,,,1,,,,,,,1
500 MAIN ST STE,,,,,,1,,,,,,,1
500 MARION AVE,,,,,1,,,,,,,,1
500 MYSTIC RIVER TRL,,,,,1,,,,,,,,1
500 N BEACH ST,,1,,,,,,,,,,,1
500 N NORTH SOUTH FREEWAY SERVICE ROAD,1,,,,,,,,,,,,1
500 PAGE ST,,,,,,1,,,,,,,1
500 PAINT PONY TRL N,,,,,,1,,,,,,,1
500 PALMETTO DR,,,,,1,,,,,,,,1
500 RAILHEAD RD,1,,,,,,,,,,,,1
500 RICHMOND PARK LN,,,,1,,,,,,,,,1
500 ROSARIO LN,,,,,,1,,,,,,,1
500 ROSEMERE AVE,,,,1,,,,,,,,,1
500 S SUMMIT AVE,,,,,,,,,,,1,,1
500 SAMUELS,,,,1,,,,,,,,,1
500 TEXAS ST,,,,,1,,,,,,,,1
500 VINDALIA CT,,,,,1,,,,,,,,1
500 VIRGINIA PL,,,,,,1,,,,,,,1
500 W SPURGEON ST,,,,,,,,,,,1,,1
500 WATERCHASE DR,,,,,,1,,,,,,,1
500 WEST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,1,,,,,,1
500 WINBRIDGE LN,,,,1,,,,,,,,,1
500 WOODHAVEN BL,,,,,1,,,,,,,,1
5000 ALTAIR BL,,,,,,,1,,,,,,1
5000 BASSWOOD CT,,,,,,,,,,,1,,1
5000 BLACKMORE AV,,,1,,,,,,,,,,1
5000 BOAT CLUB RD,,1,,,,,,,,,,,1
5000 BRUSH CREEK RD,,,,,,1,,,,,,,1
5000 CEDAR HILL RD,,,1,,,,,,,,,,1
5000 CEDAR RIVER TRL,,,,,1,,,,,,,,1
5000 COCKRELL AV,1,,,,,,,,,,,,1
5000 COWDEN ST,,,,,,1,,,,,,,1
5000 DONNELLY AV,1,,,,,,,,,,,,1
5000 DUNBAR ST,,,,,,1,,,,,,,1
5000 E LANCASTER AVE,,,,,,,,,,,1,,1
5000 E ROSEDALE ST,,,,,,,,,,,1,,1
5000 EASTOVER AVE,,,,,1,,,,,,,,1
5000 GORDON AVE,,,,1,,,,,,,,,1
5000 HERITAGE TRACE PK,,,,,,1,,,,,,,1
5000 HIGHLAND MEADOW DR,,,,,,1,,,,,,,1
5000 HUMBERT AVE,,,,1,,,,,,,,,1
5000 LAGUNA CT,,,,,,1,,,,,,,1
5000 LAKE ARLINGTON RD LOT,,,,,,1,,,,,,,1
5000 LAKE VALLEY CT,1,,,,,,,,,,,,1
5000 LEDGESTONE DR,,,,,1,,,,,,,,1
5000 LITTLEPAGE ST,,,,,1,,,,,,,,1
5000 LODGEPOLE LN,,,,,1,,,,,,,,1
5000 MARINEWAY DR,,,,,,1,,,,,,,1
5000 MARTIN ST,,,,,,1,,,,,,,1
5000 MCPHERSON BL,,,,,,,,,,,1,,1
5000 MEADOWBROOK DR,,,,,,1,,,,,,,1
5000 MERIDIAN LN,,,,,1,,,,,,,,1
5000 MILL CREEK TRL,,,,,1,,,,,,,,1
5000 NORTH FREEWAY,,,,,,,,,1,,,,1
5000 OLD BENBROOK RD,,,,,,1,,,,,,,1
5000 OLD DECATUR RD,,,,,,1,,,,,,,1
5000 PRAIRIE CREEK TR,,1,,,,,,,,,,,1
5000 RAISINTREE DR,,,,1,,,,,,,,,1
5000 ROYAL BURGESS DR,,,,1,,,,,,,,,1
5000 S HULEN ST,,,,,,,,,,,1,,1
5000 SENATOR DR,,,,,,1,,,,,,,1
5000 SLIM RIDGE RD,,,1,,,,,,,,,,1
5000 SOUTH FW,1,,,,,,,,,,,,1
5000 SPANISH RIVER TR,,,1,,,,,,,,,,1
5000 SPRING MEADOW CT,,,,,,1,,,,,,,1
5000 STACEY ST,,,,,1,,,,,,,,1
5000 STADIUM DR,,,,,1,,,,,,,,1
5000 TURNER ST,,,,,1,,,,,,,,1
5000 VILLAGE CREEK RD,,,,1,,,,,,,,,1
5000 VIRGIL ST,,,,,,1,,,,,,,1
5000 WATERFORD DR,,,,1,,,,,,,,,1
5000 WATSON CT,,1,,,,,,,,,,,1
5000 WEATHERFORD TRAFFIC CIR,,,,,,1,,,,,,,1
5000 WEST LO,,,,,,,,,,,,1,1
5000 WHISTLER DR,,,,1,,,,,,,,,1
5000 WILMINGTON DR,,,,,1,,,,,,,,1
5100 AGAVE WAY,,,1,,,,,,,,,,1
5100 ALTAMESA BL,,,,,,1,,,,,,,1
5100 ARCADIA CT,,,,,,1,,,,,,,1
5100 AZLE AVE,,,,1,,,,,,,,,1
5100 BLUE QUARTZ RD,,,,1,,,,,,,,,1
5100 BYERS AV,,1,,,,,,,,,,,1
5100 CAMPUS DR 2300 JOE B RUSHING RD,,,,1,,,,,,,,,1
5100 CREEK BEND DR,,,,,1,,,,,,,,1
5100 CROWN RD,,1,,,,,,,,,,,1
5100 DALLAS AV,1,,,,,,,,,,,,1
5100 EAST FREEWAY,,,,,,,1,,,,,,1
5100 FITZHUGH AV,,,1,,,,,,,,,,1
5100 GINGER CT,,,,,,,,,,,1,,1
5100 GLEN CANYON RD,,,,,1,,,,,,,,1
5100 GRANDBURY RD,,,,,,,,,,,,1,1
5100 GREENLEE ST,1,,,,,,,,,,,,1
5100 HEMPHILL ST,,,,,,1,,,,,,,1
5100 LIBBEY AVE,,,,,1,,,,,,,,1
5100 LOVELL AVE,,,,,,,,,,,1,,1
5100 LYNDON DR,,,1,,,,,,,,,,1
5100 MANSFIELD CARDINAL RD,,,,1,,,,,,,,,1
5100 MARTIN LUTHER KING FW,,,1,,,,,,,,,,1
5100 MC CART AVE,,,,,,,,,,,1,,1
5100 MCPHERSON BL,,,,,,,,,,,,1,1
5100 MELBOURNE DR,,,,,,1,,,,,,,1
5100 MONTROSE DR,,,,1,,,,,,,,,1
5100 MOUNTAIN SPRING TR,,1,,,,,,,,,,,1
5100 NASH LN,,1,,,,,,,,,,,1
5100 PARKVIEW HILLS LN,,,,,,1,,,,,,,1
5100 POSTWOOD DR,,,,,1,,,,,,,,1
5100 RAY WHITE RD,,,,,1,,,,,,,,1
5100 RECTOR AV,1,,,,,,,,,,,,1
5100 SANDAGE AV,1,,,,,,,,,,,,1
5100 SEALANDS LN,,,,1,,,,,,,,,1
5100 SOUTHWEST LOOP INTERSTATE 820,,,1,,,,,,,,,,1
5100 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,1,,,,,,1
5100 SPANISH RIVER TRL,,,,,1,,,,,,,,1
5100 STACEY AVE,,,,,,,,,,,1,,1
5100 STACEY ST,,,,,1,,,,,,,,1
5100 TRAIL LAKE DR,,,,1,,,,,,,,,1
5100 WALDEN AV,,,1,,,,,,,,,,1
5100 WATERFORD DR,,,,1,,,,,,,,,1
5100 WEST FW,1,,,,,,,,,,,,1
5100 WEST LOOP INTERSTATE 820 820 SOUTH,,,,,,1,,,,,,,1
5100 WHISPER DR,1,,,,,,,,,,,,1
5100 WICHITA ST SUITE,,,,,,1,,,,,,,1
5200 2 THISTLE DR,,,,1,,,,,,,,,1
5200 7 HUNTERSRIDGE RD,,,,1,,,,,,,,,1
5200 ALTA LOMA DR,,,,,,1,,,,,,,1
5200 ASH RIVER RD,,,,1,,,,,,,,,1
5200 BAY VIEW DR,,,1,,,,,,,,,,1
5200 BEDFORDSHIRE DR,,,,,1,,,,,,,,1
5200 BEGONIA CT,,,,,,1,,,,,,,1
5200 BELLEFONTAINE DR,,,,,1,,,,,,,,1
5200 BIRCHMAN AV,,,1,,,,,,,,,,1
5200 BLACKMORE AVE,,,,,,,,,,,1,,1
5200 BLUE VALLEY CT,,1,,,,,,,,,,,1
5200 BONNELL AVE,,,,,,1,,,,,,,1
5200 BYERS AV,,1,,,,,,,,,,,1
5200 CAMERON CREEK CI,,1,,,,,,,,,,,1
5200 CAROL AV,,1,,,,,,,,,,,1
5200 CEDAR BRUSH DR,,,,,,1,,,,,,,1
5200 CHASE RIDGE TRAIL,,,,,1,,,,,,,,1
5200 CLOTELL CT,,,,,,1,,,,,,,1
5200 COCKRELL AV,,,1,,,,,,,,,,1
5200 CURZON AV,,1,,,,,,,,,,,1
5200 EAST FREEWAY,,,,,,1,,,,,,,1
5200 EASTLAND ST,,,,,,1,,,,,,,1
5200 EDUCATORS WAY,,,,,1,,,,,,,,1
5200 EMMERYVILLE LN,,,,,1,,,,,,,,1
5200 ENDICOTT AV,,1,,,,,,,,,,,1
5200 FORT CONCHO DR,,,,1,,,,,,,,,1
5200 HILLRIDGE DR,,,1,,,,,,,,,,1
5200 HUFFINES BL,,,,1,,,,,,,,,1
5200 JAMES AV,1,,,,,,,,,,,,1
5200 KILPATRICK AV,,,1,,,,,,,,,,1
5200 LITTLE NATALIE LN,,,,,1,,,,,,,,1
5200 MARTIN LUTHER KING FW,,,,1,,,,,,,,,1
5200 MC CART AVE,,,,,,,,,,,1,,1
5200 MCCART AVE,,,,1,,,,,,,,,1
5200 MIRAGE DR,,,,1,,,,,,,,,1
5200 MORLEY AVE,,,,1,,,,,,,,,1
5200 NEW CASTLETON LN,,,,,1,,,,,,,,1
5200 NEWCASTLE LN,,,,,,1,,,,,,,1
5200 NORTH FREEWAY,,,,,1,,,,,,,,1
5200 NOVATO PL,,,,,,,,1,,,,,1
5200 OLD HANDLEY RD,,,,,1,,,,,,,,1
5200 PARHAM CT,,,,,,1,,,,,,,1
5200 PARTRIDGE RD,,,,,1,,,,,,,,1
5200 PURINGTON AVE,,,,,,1,,,,,,,1
5200 QUAIL FEATHER DR,,,,,,1,,,,,,,1
5200 RECTOR AVE,,,,,,1,,,,,,,1
5200 REDBUD LN,,,,,,1,,,,,,,1
5200 REDWOOD CIR,,,,,1,,,,,,,,1
5200 ROBERSON BL,,,,,,,1,,,,,,1
5200 ROYAL BURGESS DR,,,,1,,,,,,,,,1
5200 RUTLAND AV,,,1,,,,,,,,,,1
5200 S INTERSTATE 820 FW,1,,,,,,,,,,,,1
5200 SANDSHELL CIR E,,,,1,,,,,,,,,1
5200 SOUTH HULEN STREET,,1,,,,,,,,,,,1
5200 STARRY CT,,,,,,1,,,,,,,1
5200 STATE HWY,,,,,,1,,,,,,,1
5200 SUMMER CT,,,,,,1,,,,,,,1
5200 SUNWOOD CI,,,1,,,,,,,,,,1
5200 VESTA FARLEY RD,,,,,1,,,,,,,,1
5200 WELDEN CT,,,,,1,,,,,,,,1
5200 WEST FREEWAY,,,,,,1,,,,,,,1
5200 WESTCREEK DR,,,,,,1,,,,,,,1
5200 WHITE SETTLEMENT RD,,,,1,,,,,,,,,1
5200 WILDFLOWER WAY,,,1,,,,,,,,,,1
5200 WOOTEN DR,,,1,,,,,,,,,,1
5300 ALLIANCE GATEWAY FREEWAY,,,,1,,,,,,,,,1
5300 ANDERSON ST,,,,,,1,,,,,,,1
5300 APPALACHIAN WAY,,,1,,,,,,,,,,1
5300 BANDY AV,,,1,,,,,,,,,,1
5300 BENBRIDGE DR,,,,1,,,,,,,,,1
5300 BLACKMORE AV,,,1,,,,,,,,,,1
5300 BLUE MOUND,,,,,,1,,,,,,,1
5300 BONNELL AV,,,1,,,,,,,,,,1
5300 BRIDGE ST,,,,,1,,,,,,,,1
5300 CAROL AV,,1,,,,,,,,,,,1
5300 CARVER DR,,,1,,,,,,,,,,1
5300 COLLETT LITTLE RD,,,,,,1,,,,,,,1
5300 COLLINWOOD AVE,,,,1,,,,,,,,,1
5300 CORN FIELD DR,,,,,,1,,,,,,,1
5300 COX ST,,,,,1,,,,,,,,1
5300 CROMWELL MARINE CREE RD,,,,,,1,,,,,,,1
5300 DALLAS AV,,,1,,,,,,,,,,1
5300 DRIFTWAY DR,,,1,,,,,,,,,,1
5300 EASTLAND ST,,,1,,,,,,,,,,1
5300 F FALLEN LE,,,,,,,,,,,1,,1
5300 FICUS DR,,,,,1,,,,,,,,1
5300 GARRICK AVE,,,,,1,,,,,,,,1
5300 GORDON AVE,,,,,1,,,,,,,,1
5300 GRANDBURY DR,,,,,1,,,,,,,,1
5300 GRENADA DR,,,,1,,,,,,,,,1
5300 HEMPHILL ST,,,,,,1,,,,,,,1
5300 HIBBS DR,1,,,,,,,,,,,,1
5300 HOLLISTER DR,,,1,,,,,,,,,,1
5300 HUMBERT AV,,,1,,,,,,,,,,1
5300 LAMBETH LN,,,,,,1,,,,,,,1
5300 LANSDOWNE AV,,1,,,,,,,,,,,1
5300 LEDGESTONE DR,,,,1,,,,,,,,,1
5300 LIBBEY AV,,1,,,,,,,,,,,1
5300 LITTLE JAMES LN,,,,1,,,,,,,,,1
5300 LITTLE NATALIE LN,,,,,,1,,,,,,,1
5300 LOCKE AV,,,1,,,,,,,,,,1
5300 LOVELL AV,,,1,,,,,,,,,,1
5300 MARIE JONES RD,,,,,1,,,,,,,,1
5300 MC CART AVE,,,,,,,,,,,1,,1
5300 MCCART AV,,1,,,,,,,,,,,1
5300 MORRIS AVE,,,,,,1,,,,,,,1
5300 PINSON ST,,,,,1,,,,,,,,1
5300 QUAIL CREEK CT,,,,,,1,,,,,,,1
5300 RAMEY AV,,,1,,,,,,,,,,1
5300 RANDOL MILL RD,,,,1,,,,,,,,,1
5300 RIVERFLAT CT,,,,,1,,,,,,,,1
5300 ROLLING MEADOWS DR,,,,,1,,,,,,,,1
5300 ROYAL LYTHAM RD,,,,,1,,,,,,,,1
5300 SAGE CT,,,,1,,,,,,,,,1
5300 SAM CALLOWAY RD,,,,1,,,,,,,,,1
5300 SH,,,,,,,,,,,,1,1
5300 SMOKEY RIDGE DR,,,,,1,,,,,,,,1
5300 SOUTH FREEWAY SERVICE ROAD,,,,,1,,,,,,,,1
5300 STATE HWY,,,,,,1,,,,,,,1
5300 SUNNYWAY DR,,,,,,1,,,,,,,1
5300 WAGON TRACK CT,,,,,,1,,,,,,,1
5300 WAYSIDE AV,,1,,,,,,,,,,,1
5300 WELLESLEY AV,,1,,,,,,,,,,,1
5300 WEST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,1,,,,,,1
5300 WESTCREEK DR,,,1,,,,,,,,,,1
5300 WHITE WILLOW DR,,,,,1,,,,,,,,1
5300 WOODGLEN LN,,,,,1,,,,,,,,1
5400 #B E BERRY ST,1,,,,,,,,,,,,1
5400 4 ENCLAVE CIR,,,,1,,,,,,,,,1
5400 6 BOCA BAY DR,,,1,,,,,,,,,,1
5400 ANDERSON ST,,,,,,1,,,,,,,1
5400 AZLE AVE,,,,,,1,,,,,,,1
5400 BANDELIER TRAIL,,1,,,,,,,,,,,1
5400 BANDY AVE,,,,,,1,,,,,,,1
5400 BIG BEND DR,,,,,,1,,,,,,,1
5400 BOAT CLUB RD,,,,,,1,,,,,,,1
5400 BRONCO CROSSING TR,,,1,,,,,,,,,,1
5400 CHATSWORTH LN,,,,1,,,,,,,,,1
5400 CHINKAPIN LN,,,,,1,,,,,,,,1
5400 COLD HENLEY RD,,,,,,,,,,,,1,1
5400 COLLINWOOD AVE,,,,1,,,,,,,,,1
5400 CONTENDER LN,,,,,,1,,,,,,,1
5400 COSTA MESA DR,,,,,1,,,,,,,,1
5400 CREEK HILL LN,,,1,,,,,,,,,,1
5400 DIAZ AV,,,1,,,,,,,,,,1
5400 DIAZ AVE,,,,,1,,,,,,,,1
5400 DRIFTWAY DR,,,,,,1,,,,,,,1
5400 EAST LOOP INTERSTATE 820 820 SOUTH SERVICE ROAD,,,,,,,,,,,,1,1
5400 ELOOP 820 SOUTH,,1,,,,,,,,,,,1
5400 EVERMAN KENNEDALE BU RD,1,,,,,,,,,,,,1
5400 FARNSWORTH AV,,,1,,,,,,,,,,1
5400 FOGATA LN,,,,,,1,,,,,,,1
5400 FURSMAN AV,1,,,,,,,,,,,,1
5400 GOLDEN TRIANGLE BL,,,,,,1,,,,,,,1
5400 HARTMAN ST,,,,,1,,,,,,,,1
5400 HELMICK AV,,,,1,,,,,,,,,1
5400 JAMES AVE,,,,,1,,,,,,,,1
5400 LAKE CHELEN DR,,,,,,1,,,,,,,1
5400 LANSDOWNE AV,1,,,,,,,,,,,,1
5400 LAVA ROCK DR,,1,,,,,,,,,,,1
5400 LIBBEY AV,,,1,,,,,,,,,,1
5400 LOFTSMOOR CT,,1,,,,,,,,,,,1
5400 MANSFIELD HWY,,,,,1,,,,,,,,1
5400 MARINE CREEK PK,,,,,,,,,,,1,,1
5400 MILLER AV,1,,,,,,,,,,,,1
5400 NITE SAGE LN,,,,,,,,,1,,,,1
5400 OLD BENBROOK RD,,,,,,1,,,,,,,1
5400 OLD ORCHARD DR,,,,,,1,,,,,,,1
5400 PARKER HENDERSON RD M,,,,,,,,,,,1,,1
5400 ROCKY MOUNTAIN RD,,,,,,1,,,,,,,1
5400 RUTLAND AV,,1,,,,,,,,,,,1
5400 SANDSHELL DR,,,,,,1,,,,,,,1
5400 SUN VALLEY KAY ST,1,,,,,,,,,,,,1
5400 THELIN ST,,,,,1,,,,,,,,1
5400 TULAROSA DR,,,,1,,,,,,,,,1
5400 TURNER ST,,,,1,,,,,,,,,1
5400 VOLDER DR,1,,,,,,,,,,,,1
5400 WENTWORTH ST,,,,,1,,,,,,,,1
5400 WESTCREST DR,,,,,,1,,,,,,,1
5500 A ROBERSON BL,,,,,,,,,,1,,,1
5500 ALLIANCE GATEWAY FW,,1,,,,,,,,,,,1
5500 ASPEN LN,,,,,,1,,,,,,,1
5500 BANDELIER TR,1,,,,,,,,,,,,1
5500 BASSWOOD BL,,,,,,1,,,,,,,1
5500 BOAT CLUB RD,,,,,1,,,,,,,,1
5500 BONNELL AV,,,1,,,,,,,,,,1
5500 BRONCO CROSSING TRL,,,,,1,,,,,,,,1
5500 BRYANT IRVIN RD,,,,1,,,,,,,,,1
5500 BURTON AV,,,1,,,,,,,,,,1
5500 CAMPUS DR,,,,,1,,,,,,,,1
5500 CAPERS AV,,1,,,,,,,,,,,1
5500 CAPERS AVE,,,,,1,,,,,,,,1
5500 CEDAR BREAKS DR,,1,,,,,,,,,,,1
5500 CHARLOTT ST,,,,,1,,,,,,,,1
5500 CHINKAPIN LN,,,,,,1,,,,,,,1
5500 CLOVERDALE DR,,,,,,1,,,,,,,1
5500 COLUSA DR,,,,,,1,,,,,,,1
5500 CREEKWOOD DR,,,,,,1,,,,,,,1
5500 CROMWELL MARINE CREE RD,,,,1,,,,,,,,,1
5500 CROWLEY RD,,,,,,1,,,,,,,1
5500 CROWLEY RD 1700 SW LOOP,,,,,1,,,,,,,,1
5500 DUROTHY RD,,,,,,1,,,,,,,1
5500 E LANCASTER AVE,,,,,,,,,,,1,,1
5500 E LOOP SOUTH,,,,,,1,,,,,,,1
5500 EDMONDS DR,,,,,1,,,,,,,,1
5500 ELLIOT REEDER RD,,,,,1,,,,,,,,1
5500 GRANBURY RD,,,,,,1,,,,,,,1
5500 HIDDEN CREEK CI,,1,,,,,,,,,,,1
5500 HIDDEN CREEK CT,,,,1,,,,,,,,,1
5500 JAMES AV,,1,,,,,,,,,,,1
5500 KORTH ST,,,,1,,,,,,,,,1
5500 LOCKE AVE,,,,,1,,,,,,,,1
5500 LOVELL AV,,1,,,,,,,,,,,1
5500 MARTIN ST,,,1,,,,,,,,,,1
5500 MEADOW VALLEY DR,,,,,,1,,,,,,,1
5500 MILFORD DR,,,,,,1,,,,,,,1
5500 NORTH FREEWAY,,,,,,1,,,,,,,1
5500 OLD ORCHARD DR,,,,,,1,,,,,,,1
5500 PARK HAVEN PL,,,,,1,,,,,,,,1
5500 PERSHING AV,,1,,,,,,,,,,,1
5500 RANDOL MILL RD,,,,1,,,,,,,,,1
5500 SAM CALLOWAY RD,,,,,,1,,,,,,,1
5500 SCOTTS VALLEY ST,,,,1,,,,,,,,,1
5500 SEAFIELD LN,,,,,,1,,,,,,,1
5500 SHIVER RD,,,,,,1,,,,,,,1
5500 SMOKETHORN DR,,,,1,,,,,,,,,1
5500 SOUTH FREEWAY SERVICE ROAD,,,,,,,,,,,1,,1
5500 SOUTH HAMPSHIRE BL,1,,,,,,,,,,,,1
5500 SOUTHEAST LOOP INTERSTATE 820,,,1,,,,,,,,,,1
5500 SOUTHWEST LOOP INTERSTATE 820 820 BL,,,,,,1,,,,,,,1
5500 WEDGWOOD DR,,,,,1,,,,,,,,1
5500 WEST FW,1,,,,,,,,,,,,1
5500 WEST LOOP INTERSTATE 820 820,,,,,,1,,,,,,,1
5500 WESTCREST DR,,,,,1,,,,,,,,1
5500 WHITMAN AV,,,,1,,,,,,,,,1
5500 WILDFLOWER WAY,1,,,,,,,,,,,,1
5500 WILKES DR,,,,,1,,,,,,,,1
5500 YELLOW BIRCH DR,,,,,1,,,,,,,,1
5598 SOUTH FW ALTAMESA BLVD,1,,,,,,,,,,,,1
5600 0 EAST I-,,,,,1,,,,,,,,1
5600 AINSDALE DR,,,,,,1,,,,,,,1
5600 BURTON AV,,1,,,,,,,,,,,1
5600 CAMARILLO DR,,,,,,1,,,,,,,1
5600 DONNELLY AV,1,,,,,,,,,,,,1
5600 DUROTHY RD,,,,,,1,,,,,,,1
5600 EAST FREEWAY,,,,,,1,,,,,,,1
5600 EISENHOWER DR,,,,1,,,,,,,,,1
5600 FARNSWORTH AV,,,1,,,,,,,,,,1
5600 FITZHUGH AV,,,1,,,,,,,,,,1
5600 FLETCHER AV,,1,,,,,,,,,,,1
5600 FULL MOON CT,,,,,1,,,,,,,,1
5600 GEDDES AVE,,,,1,,,,,,,,,1
5600 GIDDYUP LN,,,,,1,,,,,,,,1
5600 GOLDEN TRIANGLE BL,,,,,1,,,,,,,,1
5600 GRANBURY RD,,,,,,1,,,,,,,1
5600 HEITT CT,1,,,,,,,,,,,,1
5600 INTERSTATE,,,,,1,,,,,,,,1
5600 JAMES AVE,,,,,1,,,,,,,,1
5600 KALTENBRUN RD,,,,,,1,,,,,,,1
5600 KAY DR,,,,,1,,,,,,,,1
5600 LASTER RD,,,,,,1,,,,,,,1
5600 LEA CREST LN,1,,,,,,,,,,,,1
5600 LESTER GRANGER DR,,,,,1,,,,,,,,1
5600 LUBBOCK AVE,,,,,,1,,,,,,,1
5600 MALVEY AV,,,1,,,,,,,,,,1
5600 MORLEY AVE,,,,1,,,,,,,,,1
5600 NEYSTEL RD,,,,1,,,,,,,,,1
5600 OAKDALE DR,1,,,,,,,,,,,,1
5600 ODESSA AV,,1,,,,,,,,,,,1
5600 OLD HANDLEY RD,,,,,1,,,,,,,,1
5600 PALOMA BLANCA DR,,,,,1,,,,,,,,1
5600 PERSHING AV,,1,,,,,,,,,,,1
5600 PIEDRA DR,,,,,,1,,,,,,,1
5600 ROCK VALLEY DR,,,,,,1,,,,,,,1
5600 S HULEN ST,,,,,,,,,,,1,,1
5600 SLEEPY CREEK LN,,,,1,,,,,,,,,1
5600 SOUTH FW,1,,,,,,,,,,,,1
5600 STRATUM DR,,,,1,,,,,,,,,1
5600 VESTA FARLEY RD,,,,,,1,,,,,,,1
5600 WAITS AVE,,,,,,,,,,,1,,1
5600 WALRAVEN CI,1,,,,,,,,,,,,1
5600 WALRAVEN CIR,,,,,1,,,,,,,,1
5600 WELLESLEY AV,1,,,,,,,,,,,,1
5600 WESSEX AVE,,,,,1,,,,,,,,1
5600 WHITMAN AV,,1,,,,,,,,,,,1
5700 4 REMINGTON CIR,,,,1,,,,,,,,,1
5700 6TH AV,,,1,,,,,,,,,,1
5700 ASBURY AVE,,,,,1,,,,,,,,1
5700 BARRIER REEF DR,,,,1,,,,,,,,,1
5700 BLUE RIBBON RD,,,,,,1,,,,,,,1
5700 BRENTWOOD STAIR RD,,,,,,1,,,,,,,1
5700 CALLOWAY PL,,,,,1,,,,,,,,1
5700 CALMONT AV,,,,1,,,,,,,,,1
5700 COUNTRY VALLEY LN,,,,,,1,,,,,,,1
5700 CURZON AVE,,,,1,,,,,,,,,1
5700 DENNIS AVE,,,,1,,,,,,,,,1
5700 DONNELLY AV,1,,,,,,,,,,,,1
5700 EAST FW,1,,,,,,,,,,,,1
5700 GOLDEN TRIANGLE BL,,,,,,1,,,,,,,1
5700 GOODMAN AV,1,,,,,,,,,,,,1
5700 GRAYSON ST,,,,1,,,,,,,,,1
5700 HOUGHTON AV,,1,,,,,,,,,,,1
5700 JACQUELINE RD,,,,,1,,,,,,,,1
5700 KAY DR,,,,,1,,,,,,,,1
5700 KILPATRICK AV,,1,,,,,,,,,,,1
5700 LEDGESTONE DR,,,,,,1,,,,,,,1
5700 LUBBOCK AVE,,,,,,1,,,,,,,1
5700 MINNOW DR,,,,,,1,,,,,,,1
5700 MONTERREY DR,1,,,,,,,,,,,,1
5700 MOUNTAIN STREAM TR,,,1,,,,,,,,,,1
5700 OAKDALE DR,,,,,,1,,,,,,,1
5700 OLD CROWLEY RD,,,,,1,,,,,,,,1
5700 OLD DENTON RD,,,,,,1,,,,,,,1
5700 OLD HEMPHILL RD,,,,,1,,,,,,,,1
5700 OVERTON RIDGE BLVD,,,,,,,,,,,,1,1
5700 PALUXY SANDS TRL,,,,,,1,,,,,,,1
5700 PARKVIEW HILLS LN,,,,,1,,,,,,,,1
5700 REMINGTON CIR AP,,,,,1,,,,,,,,1
5700 S INTERSTATE 820 FW,,1,,,,,,,,,,,1
5700 SANTA FE CIR,,,,1,,,,,,,,,1
5700 SANTA FE LN,1,,,,,,,,,,,,1
5700 SHADY SPRINGS TRL,,,,1,,,,,,,,,1
5700 STONE MEADOW LN,,,,,1,,,,,,,,1
5700 VOLDER DR,,,,1,,,,,,,,,1
5700 WALTHAM AVE,,,,1,,,,,,,,,1
5700 WEDGWORTH RD,,,1,,,,,,,,,,1
5700 WHITMAN AVE,,,,1,,,,,,,,,1
5700 WILBARGER ST,,,,1,,,,,,,,,1
5800 1 LINCOLN MEADOWS CI,,1,,,,,,,,,,,1
5800 5 LINCOLN MEADOWS CI,,1,,,,,,,,,,,1
5800 ALTAMESA BL,,,,,,,,,,,1,,1
5800 ASBURY AV,,1,,,,,,,,,,,1
